geometry,condition,trial,snr,qmax_fraction,missing_fraction,threshold_sigma,coverage_fraction,noise_sigma,correlation,iou,area_ratio,residual
connected,finite SNR gated,2,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8775453989484355,0.6636363636363637,1.489795918367347,0.5330521758169706
connected,finite SNR gated,3,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8982366802675714,0.6837209302325581,1.4625850340136055,0.5330490285932142
connected,finite SNR gated,4,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8836967856375514,0.6444444444444445,1.5170068027210883,0.5314334274737812
connected,limited q range,0,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9955063890275384,1.0,1.0,0.000625356332745072
connected,limited q range,1,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9896495720591039,1.0,1.0,0.0010281289763271744
connected,limited q range,2,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9820928104692458,1.0,1.0,0.0011560014565737996
connected,limited q range,3,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9901631832010644,1.0,1.0,0.0009681782537599157
connected,limited q range,4,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9977604545099619,1.0,1.0,0.0006031719135039464
connected,combined gated,0,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8599673571270636,0.6347826086956522,1.5578231292517006,0.36957903794534935
connected,combined gated,1,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8457957051825667,0.6409090909090909,1.4557823129251701,0.4205970532720977
connected,combined gated,2,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8607595530114448,0.6517857142857143,1.5170068027210883,0.39053289505029515
connected,combined gated,3,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.7412298212809593,0.5402298850574713,0.8231292517006803,0.33536708447117236
connected,combined gated,4,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8471774699183476,0.6486486486486487,1.489795918367347,0.3385912521056357
